ID,Name,Rating,Position,Alt-Pos1,Alt-Pos2,Alt-Pos3,Nation,Club,Card Type,ST,RW,LW,CF,CAM,CM,RM,LM,CDM,CB,LB,LWB,RB,RWB
18979,Pele,95,CAM,CF,ST,,Brazil,EA FC ICONS,icon,93.0,94.0,94.0,94.0,94.0,89.0,93.0,93.0,75.0,68.0,75.0,78.0,75.0,78.0
20535,Johan Cruyff,95,CF,ST,,,Holland,EA FC ICONS,totgs_ucl,91.0,95.0,95.0,94.0,95.0,89.0,94.0,94.0,71.0,60.0,69.0,74.0,69.0,74.0
20438,Daniel Maldini,95,CAM,CM,,,France,EA FC ICONS,dynasties_icon,91.0,93.0,93.0,93.0,94.0,94.0,93.0,93.0,87.0,81.0,84.0,86.0,84.0,86.0
20203,Johan Cruyff,95,CF,ST,,,Holland,EA FC ICONS,thunderstruck_icon,91.0,95.0,95.0,94.0,95.0,89.0,94.0,94.0,71.0,60.0,69.0,74.0,69.0,74.0
18913,Zinedine Zidane,94,CAM,CM,,,France,EA FC ICONS,icon,90.0,92.0,92.0,92.0,93.0,93.0,92.0,92.0,85.0,79.0,82.0,84.0,82.0,84.0
20450,Juan Sebastian Veron,94,ST,CF,,,Norway,Manchester City,dynasties,95.0,87.0,87.0,91.0,87.0,80.0,84.0,84.0,70.0,70.0,67.0,68.0,67.0,68.0
18980,Ronaldo,94,ST,CF,,,Brazil,EA FC ICONS,icon,93.0,91.0,91.0,92.0,90.0,82.0,89.0,89.0,64.0,57.0,65.0,68.0,65.0,68.0
19642,Erling Haaland,94,ST,CF,,,Norway,Manchester City,ucl_live,94.0,86.0,86.0,91.0,87.0,79.0,84.0,84.0,67.0,66.0,64.0,66.0,64.0,66.0
19731,Robert Lewandowski,94,ST,CF,,,Poland,FC Barcelona,ucl_live,94.0,91.0,91.0,93.0,91.0,85.0,89.0,89.0,70.0,66.0,66.0,70.0,66.0,70.0
20200,Ronaldinho,94,LW,LM,CAM,,Brazil,EA FC ICONS,thunderstruck_icon,88.0,94.0,94.0,92.0,93.0,87.0,93.0,93.0,68.0,56.0,65.0,70.0,65.0,70.0
20439,Zinedine Zidane,93,CB,LB,,,Italy,EA FC ICONS,dynasties_icon,71.0,70.0,70.0,69.0,71.0,77.0,74.0,74.0,88.0,92.0,90.0,87.0,90.0,87.0
18986,Mia Hamm,93,ST,CAM,CF,RW,United States,EA FC ICONS,icon,92.0,91.0,91.0,92.0,91.0,87.0,90.0,90.0,73.0,66.0,72.0,75.0,72.0,75.0
20473,Thierry Henry,93,ST,CF,LW,,France,EA FC ICONS,dynasties,92.0,91.0,91.0,92.0,90.0,85.0,90.0,90.0,72.0,66.0,72.0,75.0,72.0,75.0
18981,Ronaldinho,93,LW,LM,CAM,,Brazil,EA FC ICONS,icon,87.0,92.0,92.0,91.0,92.0,85.0,91.0,91.0,67.0,55.0,63.0,69.0,63.0,69.0
20206,Ferenc Puskas,93,CF,ST,,,Hungary,EA FC ICONS,thunderstruck_icon,92.0,93.0,93.0,94.0,93.0,88.0,92.0,92.0,70.0,59.0,69.0,73.0,69.0,73.0
18987,Johan Cruyff,93,CF,ST,,,Holland,EA FC ICONS,icon,88.0,93.0,93.0,92.0,93.0,86.0,92.0,92.0,68.0,56.0,66.0,71.0,66.0,71.0
20208,Muller,93,ST,CF,,,Germany,EA FC ICONS,thunderstruck_icon,93.0,87.0,87.0,90.0,87.0,79.0,85.0,85.0,64.0,60.0,64.0,66.0,64.0,66.0
20209,Thierry Henry,93,ST,CF,LW,,France,EA FC ICONS,thunderstruck_icon,92.0,91.0,91.0,92.0,90.0,85.0,90.0,90.0,72.0,66.0,72.0,75.0,72.0,75.0
20525,Muller,93,ST,CF,,,Germany,EA FC ICONS,totgs_ucl,93.0,87.0,87.0,90.0,87.0,79.0,85.0,85.0,64.0,60.0,64.0,66.0,64.0,66.0
20519,Kylian Mbappe,93,LW,CF,ST,,France,Paris SG,totgs_ucl,92.0,93.0,93.0,93.0,92.0,84.0,92.0,92.0,66.0,58.0,67.0,71.0,67.0,71.0
20518,Harry Kane,93,ST,CF,,,England,FC Bayern Munchen,totgs_ucl,93.0,89.0,89.0,92.0,91.0,87.0,89.0,89.0,73.0,67.0,69.0,72.0,69.0,72.0
19732,Luka Modric,93,CM,,,,Croatia,Real Madrid,ucl_live,84.0,90.0,90.0,89.0,92.0,93.0,91.0,91.0,89.0,81.0,87.0,89.0,87.0,89.0
19997,Zico,92,CAM,CM,CF,,Brazil,EA FC ICONS,centurions_icon,90.0,92.0,92.0,92.0,92.0,89.0,91.0,91.0,78.0,70.0,77.0,80.0,77.0,80.0
19953,Harry Kane,92,ST,CF,,,England,FC Bayern Munchen,if,91.0,87.0,87.0,90.0,89.0,86.0,87.0,87.0,72.0,66.0,67.0,70.0,67.0,70.0
19998,Eusebio,92,CF,ST,,,Portugal,EA FC ICONS,centurions_icon,91.0,91.0,91.0,91.0,90.0,84.0,90.0,90.0,67.0,60.0,67.0,71.0,67.0,71.0
20121,Kylian Mbappe,92,LW,LM,CF,ST,France,Paris SG,if,91.0,92.0,92.0,92.0,90.0,82.0,90.0,90.0,65.0,56.0,65.0,69.0,65.0,69.0
20181,Kylian Mbappe,92,ST,CF,LW,,France,Paris SG,potm_ligue1,91.0,92.0,92.0,92.0,91.0,83.0,90.0,90.0,65.0,56.0,65.0,69.0,65.0,69.0
20278,Lionel Messi,92,CF,CAM,ST,,Argentina,Inter Miami CF,radioactive,86.0,91.0,91.0,91.0,92.0,86.0,90.0,90.0,65.0,50.0,61.0,66.0,61.0,66.0
20213,Marcos Cafu,92,RWB,RB,,,Brazil,EA FC ICONS,thunderstruck_icon,75.0,82.0,82.0,80.0,82.0,84.0,85.0,85.0,87.0,87.0,89.0,90.0,89.0,90.0
19919,Andrea Pirlo,92,CM,CDM,,,Italy,EA FC ICONS,centurions_icon,83.0,89.0,89.0,89.0,91.0,92.0,90.0,90.0,83.0,72.0,80.0,84.0,80.0,84.0
