ID,Name,Rating,Position,Alt-Pos1,Alt-Pos2,Alt-Pos3,Nation,Club,Card Type,ST,RW,LW,CF,CAM,CM,RM,LM,CDM,CB,LB,LWB,RB,RWB
18979,Pele,95,CAM,CF,ST,,Brazil,EA FC ICONS,icon,93,94,94,94,94,89,93,93,75,68,75,78,75,78
18913,Zinedine Zidane,94,CAM,CM,,,France,EA FC ICONS,icon,90,92,92,92,93,93,92,92,85,79,82,84,82,84
18980,Ronaldo,94,ST,CF,,,Brazil,EA FC ICONS,icon,93,91,91,92,90,82,89,89,64,57,65,68,65,68
19642,Erling Haaland,94,ST,CF,,,Norway,Manchester City,ucl_live,94,86,86,91,87,79,84,84,67,66,64,66,64,66
19731,Robert Lewandowski,94,ST,CF,,,Poland,FC Barcelona,ucl_live,94,91,91,93,91,85,89,89,70,66,66,70,66,70
20200,Ronaldinho,94,LW,LM,CAM,,Brazil,EA FC ICONS,thunderstruck_icon,88,94,94,92,93,87,93,93,68,56,65,70,65,70
20203,Johan Cruyff,94,CF,ST,,,Holland,EA FC ICONS,thunderstruck_icon,90,94,94,93,94,87,93,93,70,58,68,72,68,72
18981,Ronaldinho,93,LW,LM,CAM,,Brazil,EA FC ICONS,icon,87,92,92,91,92,85,91,91,67,55,63,69,63,69
18986,Mia Hamm,93,ST,CAM,CF,RW,United States,EA FC ICONS,icon,92,91,91,92,91,87,90,90,73,66,72,75,72,75
18987,Johan Cruyff,93,CF,ST,,,Holland,EA FC ICONS,icon,88,93,93,92,93,86,92,92,68,56,66,71,66,71
19732,Luka Modric,93,CM,,,,Croatia,Real Madrid,ucl_live,84,90,90,89,92,93,91,91,89,81,87,89,87,89
20206,Ferenc Puskas,93,CF,ST,,,Hungary,EA FC ICONS,thunderstruck_icon,92,93,93,94,93,88,92,92,70,59,69,73,69,73
20208,Gerd Muller,93,ST,CF,,,Germany,EA FC ICONS,thunderstruck_icon,93,87,87,90,87,79,85,85,64,60,64,66,64,66
18914,Lev Yashin,92,GK,,,,Russia,EA FC ICONS,icon,,,,,,,,,,,,,,
18915,Ferenc Puskas,92,CF,ST,,,Hungary,EA FC ICONS,icon,91,92,92,92,92,86,91,91,69,58,67,71,67,71
18982,Mane Garrincha,92,RW,RM,,,Brazil,EA FC ICONS,icon,86,92,92,91,92,86,92,92,67,53,65,71,65,71
18988,Paolo Maldini,92,CB,LB,,,Italy,EA FC ICONS,icon,69,69,69,68,69,75,72,72,87,91,88,86,88,86
18989,Gerd Muller,92,ST,CF,,,Germany,EA FC ICONS,icon,91,86,86,89,86,78,84,84,63,58,62,65,62,65
18990,Bobby Charlton,92,CAM,CF,,,England,EA FC ICONS,icon,89,90,90,91,91,86,89,89,70,61,67,71,67,71
18991,Birgit Prinz,92,ST,CF,,,Germany,EA FC ICONS,icon,91,85,85,88,86,81,84,84,69,66,67,69,67,69
19776,Kylian Mbappe,92,ST,CF,LW,,France,Paris SG,trailblazers,91,92,92,92,90,82,90,90,64,55,64,69,64,69
19845,Harry Kane,92,ST,CF,,,England,FC Bayern Munchen,trailblazers,92,88,88,91,89,86,88,88,72,65,68,71,68,71
19919,Andrea Pirlo,92,CM,CDM,,,Italy,EA FC ICONS,centurions_icon,83,89,89,89,91,92,90,90,83,72,80,84,80,84
19953,Harry Kane,92,ST,CF,,,England,FC Bayern Munchen,if,91,87,87,90,89,86,87,87,72,66,67,70,67,70
19954,Erling Haaland,92,ST,CF,,,Norway,Manchester City,if,91,83,83,88,84,76,80,80,64,63,62,63,62,63
19986,Kevin De Bruyne,92,CM,CAM,,,Belgium,Manchester City,centurions,85,89,89,89,91,91,90,90,81,71,77,81,77,81
19997,Zico,92,CAM,CM,CF,,Brazil,EA FC ICONS,centurions_icon,90,92,92,92,92,89,91,91,78,70,77,80,77,80
19998,Eusebio,92,CF,ST,,,Portugal,EA FC ICONS,centurions_icon,91,91,91,91,90,84,90,90,67,60,67,71,67,71
20121,Kylian Mbappe,92,LW,LM,CF,ST,France,Paris SG,if,91,92,92,92,90,82,90,90,65,56,65,69,65,69
20181,Kylian Mbappe,92,ST,CF,LW,,France,Paris SG,potm_ligue1,91,92,92,92,91,83,90,90,65,56,65,69,65,69
20209,Thierry Henry,92,ST,CF,LW,,France,EA FC ICONS,thunderstruck_icon,91,90,90,91,89,83,89,89,70,65,71,73,71,73
20213,Marcos Cafu,92,RWB,RB,,,Brazil,EA FC ICONS,thunderstruck_icon,75,82,82,80,82,84,85,85,87,87,89,90,89,90
20278,Lionel Messi,92,CF,CAM,ST,,Argentina,Inter Miami CF,radioactive,86,91,91,91,92,86,90,90,65,50,61,66,61,66
